Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20081009_NIH_EWY_NEG_046701	Extraction		none	20081009_NIH_EWY_NEG_046701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_046701	FILES/20081009_NIH_EWY_NEG_046701.CDF	Data transformation	20081009_NIH_EWY_NEG_046701	FILES/20081009_NIH_EWY_NEG_0467.mzML	Metabolite identification	20081009_NIH_EWY_NEG_046701	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_046801	Extraction		none	20081009_NIH_EWY_NEG_046801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_046801	FILES/20081009_NIH_EWY_NEG_046801.CDF	Data transformation	20081009_NIH_EWY_NEG_046801	FILES/20081009_NIH_EWY_NEG_0468.mzML	Metabolite identification	20081009_NIH_EWY_NEG_046801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_046901	Extraction		none	20081009_NIH_EWY_NEG_046901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_046901	FILES/20081009_NIH_EWY_NEG_046901.CDF	Data transformation	20081009_NIH_EWY_NEG_046901	FILES/20081009_NIH_EWY_NEG_0469.mzML	Metabolite identification	20081009_NIH_EWY_NEG_046901	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_047001	Extraction		none	20081009_NIH_EWY_NEG_047001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_047001	FILES/20081009_NIH_EWY_NEG_047001.CDF	Data transformation	20081009_NIH_EWY_NEG_047001	FILES/20081009_NIH_EWY_NEG_0470.mzML	Metabolite identification	20081009_NIH_EWY_NEG_047001	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_047201	Extraction		none	20081009_NIH_EWY_NEG_047201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_047201	FILES/20081009_NIH_EWY_NEG_047201.CDF	Data transformation	20081009_NIH_EWY_NEG_047201	FILES/20081009_NIH_EWY_NEG_0472.mzML	Metabolite identification	20081009_NIH_EWY_NEG_047201	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_047301	Extraction		none	20081009_NIH_EWY_NEG_047301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_047301	FILES/20081009_NIH_EWY_NEG_047301.CDF	Data transformation	20081009_NIH_EWY_NEG_047301	FILES/20081009_NIH_EWY_NEG_0473.mzML	Metabolite identification	20081009_NIH_EWY_NEG_047301	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_047401	Extraction		none	20081009_NIH_EWY_NEG_047401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_047401	FILES/20081009_NIH_EWY_NEG_047401.CDF	Data transformation	20081009_NIH_EWY_NEG_047401	FILES/20081009_NIH_EWY_NEG_0474.mzML	Metabolite identification	20081009_NIH_EWY_NEG_047401	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_047501	Extraction		none	20081009_NIH_EWY_NEG_047501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_047501	FILES/20081009_NIH_EWY_NEG_047501.CDF	Data transformation	20081009_NIH_EWY_NEG_047501	FILES/20081009_NIH_EWY_NEG_0475.mzML	Metabolite identification	20081009_NIH_EWY_NEG_047501	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_047601	Extraction		none	20081009_NIH_EWY_NEG_047601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_047601	FILES/20081009_NIH_EWY_NEG_047601.CDF	Data transformation	20081009_NIH_EWY_NEG_047601	FILES/20081009_NIH_EWY_NEG_0476.mzML	Metabolite identification	20081009_NIH_EWY_NEG_047601	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_047801	Extraction		none	20081009_NIH_EWY_NEG_047801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_047801	FILES/20081009_NIH_EWY_NEG_047801.CDF	Data transformation	20081009_NIH_EWY_NEG_047801	FILES/20081009_NIH_EWY_NEG_0478.mzML	Metabolite identification	20081009_NIH_EWY_NEG_047801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_048001	Extraction		none	20081009_NIH_EWY_NEG_048001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_048001	FILES/20081009_NIH_EWY_NEG_048001.CDF	Data transformation	20081009_NIH_EWY_NEG_048001	FILES/20081009_NIH_EWY_NEG_0480.mzML	Metabolite identification	20081009_NIH_EWY_NEG_048001	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_048101	Extraction		none	20081009_NIH_EWY_NEG_048101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_048101	FILES/20081009_NIH_EWY_NEG_048101.CDF	Data transformation	20081009_NIH_EWY_NEG_048101	FILES/20081009_NIH_EWY_NEG_0481.mzML	Metabolite identification	20081009_NIH_EWY_NEG_048101	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_048201	Extraction		none	20081009_NIH_EWY_NEG_048201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_048201	FILES/20081009_NIH_EWY_NEG_048201.CDF	Data transformation	20081009_NIH_EWY_NEG_048201	FILES/20081009_NIH_EWY_NEG_0482.mzML	Metabolite identification	20081009_NIH_EWY_NEG_048201	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_048401	Extraction		none	20081009_NIH_EWY_NEG_048401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_048401	FILES/20081009_NIH_EWY_NEG_048401.CDF	Data transformation	20081009_NIH_EWY_NEG_048401	FILES/20081009_NIH_EWY_NEG_0484.mzML	Metabolite identification	20081009_NIH_EWY_NEG_048401	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_048501	Extraction		none	20081009_NIH_EWY_NEG_048501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_048501	FILES/20081009_NIH_EWY_NEG_048501.CDF	Data transformation	20081009_NIH_EWY_NEG_048501	FILES/20081009_NIH_EWY_NEG_0485.mzML	Metabolite identification	20081009_NIH_EWY_NEG_048501	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_048601	Extraction		none	20081009_NIH_EWY_NEG_048601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_048601	FILES/20081009_NIH_EWY_NEG_048601.CDF	Data transformation	20081009_NIH_EWY_NEG_048601	FILES/20081009_NIH_EWY_NEG_0486.mzML	Metabolite identification	20081009_NIH_EWY_NEG_048601	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_048801	Extraction		none	20081009_NIH_EWY_NEG_048801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_048801	FILES/20081009_NIH_EWY_NEG_048801.CDF	Data transformation	20081009_NIH_EWY_NEG_048801	FILES/20081009_NIH_EWY_NEG_0488.mzML	Metabolite identification	20081009_NIH_EWY_NEG_048801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_048901	Extraction		none	20081009_NIH_EWY_NEG_048901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_048901	FILES/20081009_NIH_EWY_NEG_048901.CDF	Data transformation	20081009_NIH_EWY_NEG_048901	FILES/20081009_NIH_EWY_NEG_0489.mzML	Metabolite identification	20081009_NIH_EWY_NEG_048901	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_049001	Extraction		none	20081009_NIH_EWY_NEG_049001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_049001	FILES/20081009_NIH_EWY_NEG_049001.CDF	Data transformation	20081009_NIH_EWY_NEG_049001	FILES/20081009_NIH_EWY_NEG_0490.mzML	Metabolite identification	20081009_NIH_EWY_NEG_049001	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_049101	Extraction		none	20081009_NIH_EWY_NEG_049101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_049101	FILES/20081009_NIH_EWY_NEG_049101.CDF	Data transformation	20081009_NIH_EWY_NEG_049101	FILES/20081009_NIH_EWY_NEG_0491.mzML	Metabolite identification	20081009_NIH_EWY_NEG_049101	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_049301	Extraction		none	20081009_NIH_EWY_NEG_049301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_049301	FILES/20081009_NIH_EWY_NEG_049301.CDF	Data transformation	20081009_NIH_EWY_NEG_049301	FILES/20081009_NIH_EWY_NEG_0493.mzML	Metabolite identification	20081009_NIH_EWY_NEG_049301	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_049401	Extraction		none	20081009_NIH_EWY_NEG_049401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_049401	FILES/20081009_NIH_EWY_NEG_049401.CDF	Data transformation	20081009_NIH_EWY_NEG_049401	FILES/20081009_NIH_EWY_NEG_0494.mzML	Metabolite identification	20081009_NIH_EWY_NEG_049401	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_049501	Extraction		none	20081009_NIH_EWY_NEG_049501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_049501	FILES/20081009_NIH_EWY_NEG_049501.CDF	Data transformation	20081009_NIH_EWY_NEG_049501	FILES/20081009_NIH_EWY_NEG_0495.mzML	Metabolite identification	20081009_NIH_EWY_NEG_049501	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_049601	Extraction		none	20081009_NIH_EWY_NEG_049601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_049601	FILES/20081009_NIH_EWY_NEG_049601.CDF	Data transformation	20081009_NIH_EWY_NEG_049601	FILES/20081009_NIH_EWY_NEG_0496.mzML	Metabolite identification	20081009_NIH_EWY_NEG_049601	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_049701	Extraction		none	20081009_NIH_EWY_NEG_049701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_049701	FILES/20081009_NIH_EWY_NEG_049701.CDF	Data transformation	20081009_NIH_EWY_NEG_049701	FILES/20081009_NIH_EWY_NEG_0497.mzML	Metabolite identification	20081009_NIH_EWY_NEG_049701	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_049801	Extraction		none	20081009_NIH_EWY_NEG_049801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_049801	FILES/20081009_NIH_EWY_NEG_049801.CDF	Data transformation	20081009_NIH_EWY_NEG_049801	FILES/20081009_NIH_EWY_NEG_0498.mzML	Metabolite identification	20081009_NIH_EWY_NEG_049801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_049901	Extraction		none	20081009_NIH_EWY_NEG_049901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_049901	FILES/20081009_NIH_EWY_NEG_049901.CDF	Data transformation	20081009_NIH_EWY_NEG_049901	FILES/20081009_NIH_EWY_NEG_0499.mzML	Metabolite identification	20081009_NIH_EWY_NEG_049901	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_050001	Extraction		none	20081009_NIH_EWY_NEG_050001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_050001	FILES/20081009_NIH_EWY_NEG_050001.CDF	Data transformation	20081009_NIH_EWY_NEG_050001	FILES/20081009_NIH_EWY_NEG_0500.mzML	Metabolite identification	20081009_NIH_EWY_NEG_050001	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_050801	Extraction		none	20081009_NIH_EWY_NEG_050801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_050801	FILES/20081009_NIH_EWY_NEG_050801.CDF	Data transformation	20081009_NIH_EWY_NEG_050801	FILES/20081009_NIH_EWY_NEG_0508.mzML	Metabolite identification	20081009_NIH_EWY_NEG_050801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_050901	Extraction		none	20081009_NIH_EWY_NEG_050901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_050901	FILES/20081009_NIH_EWY_NEG_050901.CDF	Data transformation	20081009_NIH_EWY_NEG_050901	FILES/20081009_NIH_EWY_NEG_0509.mzML	Metabolite identification	20081009_NIH_EWY_NEG_050901	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_051101	Extraction		none	20081009_NIH_EWY_NEG_051101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_051101	FILES/20081009_NIH_EWY_NEG_051101.CDF	Data transformation	20081009_NIH_EWY_NEG_051101	FILES/20081009_NIH_EWY_NEG_0511.mzML	Metabolite identification	20081009_NIH_EWY_NEG_051101	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_051201	Extraction		none	20081009_NIH_EWY_NEG_051201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_051201	FILES/20081009_NIH_EWY_NEG_051201.CDF	Data transformation	20081009_NIH_EWY_NEG_051201	FILES/20081009_NIH_EWY_NEG_0512.mzML	Metabolite identification	20081009_NIH_EWY_NEG_051201	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_051301	Extraction		none	20081009_NIH_EWY_NEG_051301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_051301	FILES/20081009_NIH_EWY_NEG_051301.CDF	Data transformation	20081009_NIH_EWY_NEG_051301	FILES/20081009_NIH_EWY_NEG_0513.mzML	Metabolite identification	20081009_NIH_EWY_NEG_051301	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_051401	Extraction		none	20081009_NIH_EWY_NEG_051401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_051401	FILES/20081009_NIH_EWY_NEG_051401.CDF	Data transformation	20081009_NIH_EWY_NEG_051401	FILES/20081009_NIH_EWY_NEG_0514.mzML	Metabolite identification	20081009_NIH_EWY_NEG_051401	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_051801	Extraction		none	20081009_NIH_EWY_NEG_051801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_051801	FILES/20081009_NIH_EWY_NEG_051801.CDF	Data transformation	20081009_NIH_EWY_NEG_051801	FILES/20081009_NIH_EWY_NEG_0518.mzML	Metabolite identification	20081009_NIH_EWY_NEG_051801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_051901	Extraction		none	20081009_NIH_EWY_NEG_051901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_051901	FILES/20081009_NIH_EWY_NEG_051901.CDF	Data transformation	20081009_NIH_EWY_NEG_051901	FILES/20081009_NIH_EWY_NEG_0519.mzML	Metabolite identification	20081009_NIH_EWY_NEG_051901	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_052001	Extraction		none	20081009_NIH_EWY_NEG_052001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_052001	FILES/20081009_NIH_EWY_NEG_052001.CDF	Data transformation	20081009_NIH_EWY_NEG_052001	FILES/20081009_NIH_EWY_NEG_0520.mzML	Metabolite identification	20081009_NIH_EWY_NEG_052001	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_052101	Extraction		none	20081009_NIH_EWY_NEG_052101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_052101	FILES/20081009_NIH_EWY_NEG_052101.CDF	Data transformation	20081009_NIH_EWY_NEG_052101	FILES/20081009_NIH_EWY_NEG_0521.mzML	Metabolite identification	20081009_NIH_EWY_NEG_052101	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_052201	Extraction		none	20081009_NIH_EWY_NEG_052201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_052201	FILES/20081009_NIH_EWY_NEG_052201.CDF	Data transformation	20081009_NIH_EWY_NEG_052201	FILES/20081009_NIH_EWY_NEG_0522.mzML	Metabolite identification	20081009_NIH_EWY_NEG_052201	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_052301	Extraction		none	20081009_NIH_EWY_NEG_052301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_052301	FILES/20081009_NIH_EWY_NEG_052301.CDF	Data transformation	20081009_NIH_EWY_NEG_052301	FILES/20081009_NIH_EWY_NEG_0523.mzML	Metabolite identification	20081009_NIH_EWY_NEG_052301	m_MTBLS28_NEG_v2_maf.tsv
